scenario,year,net_worth,taxes,withdrawal_taxes,early_withdrawal_penalty,withdrawn:joint-brokerage,withdrawn:alex-401k,withdrawn:jordan-403b,withdrawn:jordan-roth-ira,withdrawn:alex-roth-ira,withdrawn:alex-hsa,withdrawn:emergency-savings
base-plan,2026,895584.300000,39232.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2027,1022682.520600,40027.576000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2028,1161886.588130,40813.950800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2029,1324640.320241,41616.323769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2030,1502394.667061,42429.198597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2031,1697070.273736,43649.162029,395.578924,103.464952,262.477168,667.177841,367.471679,149.789795,29.987206,57.854462,39.109789
base-plan,2032,1908850.955525,44687.790734,133.424976,34.769864,89.291017,225.855673,121.842971,51.429688,12.640701,20.162892,12.014879
base-plan,2033,2138803.079400,46012.958113,126.208904,32.772960,84.978942,214.304386,113.425210,49.454592,14.124801,19.597182,10.383500
base-plan,2034,2388357.947164,47356.182481,353.327652,91.436632,238.895839,601.557707,312.808610,140.571564,45.068909,56.757295,26.632371
base-plan,2035,2659307.076155,48483.664239,60.770267,15.675079,41.196635,103.705219,53.045575,24.480826,8.580673,10.041276,4.207144
base-plan,2036,2953029.744319,49908.952693,33.723829,8.671429,22.893323,57.668263,29.046023,13.744930,5.184192,5.707604,2.149260
base-plan,2037,3270357.780217,51382.569815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2038,3613835.426696,52922.990505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2039,3985644.128210,54512.211968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2040,4386622.339182,56151.327310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2041,4820249.633758,57843.492411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
base-plan,2042,5081896.190966,48282.859892,22852.057118,0.000000,21961.161010,56061.650239,26565.302322,14123.702880,6583.339255,5915.445770,1330.191526
base-plan,2043,5287735.186839,46126.374944,27558.032033,0.000000,30191.008847,77070.505407,36869.435265,19910.044044,9050.416488,8071.713935,1735.114798
base-plan,2044,5494559.397977,34623.670870,23415.093147,0.000000,30797.858060,78619.647926,37771.186776,20645.782675,9232.332837,8172.682074,1679.433489
base-plan,2045,5615066.846981,23254.328803,22421.816721,0.000000,42856.929177,109403.604517,52169.553779,28729.752706,12847.303659,11288.106448,2217.456213
base-plan,2046,5735564.189988,23953.440235,23122.069272,0.000000,44332.112564,113169.398823,53563.685966,29718.662894,13289.522206,11589.759642,2176.427166
base-plan,2047,5855786.498874,24671.345179,23841.102053,0.000000,45853.410155,117052.911785,54989.481298,30738.486396,13745.564495,11898.263900,2135.940047
base-plan,2048,5998872.127037,25278.187382,24449.059021,0.000000,43790.281054,111786.231121,52124.472247,29355.438426,13127.096337,11278.352001,1935.471847
base-plan,2049,6274967.315690,25258.618693,24312.797389,0.000000,24865.047073,63474.584588,29377.117422,16668.638354,7453.842736,6356.428311,1042.773820
base-plan,2050,6595811.487710,24624.397020,22563.397728,0.000000,21104.457697,53874.689292,24748.566328,14147.673720,6326.523664,5354.932732,839.782341
base-plan,2051,6935377.019155,25501.178341,23412.177526,0.000000,21897.059269,55898.013655,25486.934195,14679.005469,6564.123354,5514.695936,826.742078
base-plan,2052,7294898.747397,26400.335592,24284.082468,0.000000,22714.152806,57983.860213,26241.236905,15226.755756,6809.065047,5677.907018,813.715332
base-plan,2053,7675698.409595,27322.300343,25179.342237,0.000000,23556.456074,60134.061251,27011.808876,15791.405745,7061.563909,5844.638335,800.714361
base-plan,2054,8064819.445361,41381.511975,4575.591202,0.000000,4124.358629,144217.814968,4694.140574,2764.822533,1236.366877,1015.687401,133.019648
base-plan,2055,8476087.876117,42994.340655,3921.975730,0.000000,3624.427205,151611.276366,4094.444664,2429.686385,1086.501478,885.929127,110.915045
base-plan,2056,8895770.200961,59207.855983,0.000000,0.000000,0.000000,152100.122745,67682.521640,0.000000,0.000000,0.000000,0.000000
base-plan,2057,9337689.312056,63028.063392,0.000000,0.000000,0.000000,162764.415442,71912.536453,0.000000,0.000000,0.000000,0.000000
base-plan,2058,9803191.767641,67018.813517,0.000000,0.000000,0.000000,174142.496616,76060.539483,0.000000,0.000000,0.000000,0.000000
base-plan,2059,10293543.236644,71349.818552,0.000000,0.000000,0.000000,186276.435428,80787.702012,0.000000,0.000000,0.000000,0.000000
base-plan,2060,10810451.266010,75696.782582,0.000000,0.000000,0.000000,198182.764290,85791.944975,0.000000,0.000000,0.000000,0.000000
base-plan,2061,11355179.653724,80590.222611,0.000000,0.000000,0.000000,211894.869063,91086.836946,0.000000,0.000000,0.000000,0.000000
base-plan,2062,11929833.624053,85330.636018,0.000000,0.000000,0.000000,225213.120014,96187.699815,0.000000,0.000000,0.000000,0.000000
base-plan,2063,12535695.639460,90832.446586,0.000000,0.000000,0.000000,240663.008157,102077.506645,0.000000,0.000000,0.000000,0.000000
base-plan,2064,13175223.648158,96086.184768,0.000000,0.000000,0.000000,255478.824597,107686.002419,0.000000,0.000000,0.000000,0.000000
